MediumId,InventoryNumber,Condition,IsLoanable,Status,AcquisitionDate,WeightKg,Location_,Location_Id
11111111-1111-1111-1111-111111111111,1001,1,true,0,2018-02-01,0.31,A-01-04,1
11111111-1111-1111-1111-111111111111,1002,3,false,1,2020-08-15,0.31,A-01-05,1
11111111-1111-1111-1111-111111111112,1003,1,true,0,2019-05-20,0.12,A-02-01,1
11111111-1111-1111-1111-111111111113,1004,2,true,0,2017-11-11,0.45,B-04-12,2
11111111-1111-1111-1111-111111111114,1005,1,true,0,2021-03-08,0.52,B-04-13,2
11111111-1111-1111-1111-111111111114,1006,4,false,2,2016-06-30,0.52,C-00-01,3
22222222-2222-2222-2222-222222222221,2001,1,true,0,2026-06-13,0.28,D-01-01,1
44444444-4444-4444-4444-444444444441,4001,2,true,0,2019-12-01,0.09,E-02-07,1
55555555-5555-5555-5555-555555555552,5001,1,true,0,2022-01-19,0.08,E-03-02,2
66666666-6666-6666-6666-666666666661,6001,1,true,0,2023-04-04,0.00,-,1
